,Country,Code,ave_result,Total_log
0,Australia,AUS,502.0,11.274877678400951
1,Austria,AUT,492.0,11.656248267938512
2,Czech Republic,CZE,491.0,10.939421063318541
3,Denmark,DNK,504.0,11.675329482439924
4,Finland,FIN,523.0,11.401658397717545
5,France,FRA,496.0,11.380791008681925
6,Germany,DEU,508.0,11.308878954815542
7,Hungary,HUN,475.0,10.809038358729662
8,Iceland,ISL,481.0,11.548015592417071
9,Ireland,IRL,509.0,11.369786949985174
10,Italy,ITA,485.0,11.405393745928903
11,Japan,JPN,529.0,11.241873018406483
12,Republic of Korea,KOR,519.0,11.000996251259124
14,Mexico,MEX,416.0,10.094923595823541
15,Netherlands,NLD,508.0,11.64898796499964
16,New Zealand,NZL,506.0,11.018501690215846
17,Norway,NOR,504.0,11.6601204597416
18,Poland,POL,504.0,10.854820720374633
19,Portugal,PRT,497.0,11.237455457211539
20,Slovak Republic,SVK,463.0,10.736348498470582
21,Spain,ESP,492.0,11.303732610536546
22,Sweden,SWE,496.0,11.60971044859424
23,Switzerland,CHE,506.0,11.820679702918142
24,United Kingdom of Great Britain and Northern Ireland,GBR,500.0,11.471949056203515
25,United States of America,USA,488.0,11.556386113129346
27,Chile,CHL,443.0,10.290556556768893
28,Estonia,EST,524.0,10.95703081805442
29,Indonesia,IDN,395.0,9.026401674986353
30,Latvia,LVA,487.0,11.00577064904986
31,Colombia,COL,410.0,9.815473941553783
